Province_State,Active_05-20-2020,Active_05-21-2020,Active_05-22-2020,Active_05-23-2020
AC,2741,3025,3263,3780
AL,4186,4654,5022,5329
AP,4407,5037,5498,5929
AM,22143,23747,25369,27058
BA,10835,11565,12158,12587
CE,28660,29252,32322,32814
DF,5084,5458,5858,6156
ES,7751,8515,9123,9501
GO,1900,2029,2211,2282
MA,14480,15395,16519,18045
MT,1022,1138,1183,1315
MS,676,729,788,841
MG,5109,5405,5794,6121
PA,16502,17904,19532,20696
PB,5608,5993,6634,7250
PR,2479,2669,2793,2949
PE,20726,21986,23703,24642
PI,2550,2761,2981,3159
RN,3626,3882,4070,4415
RS,4812,5307,5746,6160
RJ,27135,28677,29932,30628
RO,2409,2558,2668,2994
RR,2003,2074,2223,2293
SC,5405,5512,6358,6504
SP,64496,68181,71098,74513
SE,4208,4658,4840,5045
TO,1767,1929,2156,2379
