Province_State,05-20-2020,05-21-2020,05-22-2020,05-23-2020
AC,2817,3103,3343,3867
AL,4437,4916,5302,5630
AP,4549,5188,5655,6091
AM,23704,25367,27038,28802
BA,11197,11941,12557,13000
CE,30560,31413,34573,35122
DF,5161,5542,5948,6251
ES,8092,8878,9520,9918
GO,1978,2114,2304,2377
MA,15114,16058,17212,18767
MT,1054,1172,1220,1352
MS,693,746,805,858
MG,5286,5596,5995,6338
PA,18135,19756,21469,22697
PB,5838,6238,6882,7508
PR,2616,2810,2939,3099
PE,22560,23911,25760,26786
PI,2637,2852,3074,3258
RN,3796,4060,4251,4599
RS,4973,5473,5918,6336
RJ,30372,32089,33589,34533
RO,2499,2659,2774,3109
RR,2067,2146,2306,2374
SC,5499,5610,6458,6607
SP,69859,73739,76871,80558
SE,4277,4734,4922,5131
TO,1809,1976,2205,2430
