Province_State,05-20-2020,05-21-2020,05-22-2020,05-23-2020
AC,76,78,80,87
AL,251,262,280,301
AP,142,151,157,162
AM,1561,1620,1669,1744
BA,362,376,399,413
CE,1900,2161,2251,2308
DF,77,84,90,95
ES,341,363,397,417
GO,78,85,93,95
MA,634,663,693,722
MT,32,34,37,37
MS,17,17,17,17
MG,177,191,201,217
PA,1633,1852,1937,2001
PB,230,245,248,258
PR,137,141,146,150
PE,1834,1925,2057,2144
PI,87,91,93,99
RN,170,178,181,184
RS,161,166,172,176
RJ,3237,3412,3657,3905
RO,90,101,106,115
RR,64,72,83,81
SC,94,98,100,103
SP,5363,5558,5773,6045
SE,69,76,82,86
TO,42,47,49,51
